推力,,电机1,电机2,电机3,电机4,陀螺仪：,方差1,方差2,方差3,,主频1,主频2,主频3,,加速度计：,方差1,方差2,方差3,,主频1,主频2,主频3,
0.24299999999999999,,674,671,722,685,,6.7,5.3,,,59,67,,,,3.3,4.2,,,59,66,,
0.24399999999999999,,670,667,730,695,,1.2,2.9,4.4000000000000004,,57,64,70,,,2.2999999999999998,1.3,6.8,,57,64,70,
0.245,,672,673,727,699,,7,0.4,0.4,,61,65,69,,,5.4,0.4,1.9,,61,65,69,
0.246,,677,675,723,704,,7.5,2.8,,,53,60,,,,6.9,3.7,,,53,60,,
0.247,,678,678,727,704,,2.2000000000000002,0.8,2,,51,56,61,,,0.4,9,9,,51,56,61,
0.248,,669,680,739,707,,2.1,1.2,1.7,,49,56,63,,,1.4,1.7,2.1,,49,56,63,
0.249,,665,680,748,711,,2.6,4.8,2.2000000000000002,,48,56,65,,,2.2999999999999998,2.6,9,,48,55,64,
0.25,,660,662,759,731,,8.6,2.8,3.7,,49,55,68,,,2.5,7,8.6,,49,55,69,
0.251,,666,676,755,723,,2.9,1.9,3.2,,48,54,65,,,1.3,2.6,9,,47,54,65,
0.252,,675,676,752,726,,5.0999999999999996,5.3,8.1999999999999993,,47,54,64,,,2.8,9,9,,47,53,64,
0.253,,685,686,741,726,,8.1,5.8,,,53,63,,,,9,9,,,53,63,,
0.254,,686,678,747,734,,8.3000000000000007,5.8,,,52,63,,,,9,9,,,52,64,,
0.255,,691,693,748,723,,3,3.5,3.6,,39,44,51,,,9,1.6,9,,40,44,51,
0.25600000000000001,,696,693,749,726,,8.5,2.7,1.3,,41,45,52,,,1.1000000000000001,9,1.7,,40,44,52,
0.25700000000000001,,688,697,761,726,,5,1.4,3.8,,39,46,55,,,2.2999999999999998,0.9,9,,39,46,55,
0.25800000000000001,,683,695,766,736,,8.6,3.6,9,,39,46,57,,,1.9,3.1,9,,40,46,56,
0.25900000000000001,,674,687,776,751,,9,6.7,9,,37,44,59,,,4.4000000000000004,9,9,,39,44,59,
0.26,,678,686,780,752,,9,3.9,7.7,,38,45,60,,,4.3,9,9,,39,44,60,
0.26100000000000001,,691,701,767,746,,8.9,6.2,,,47,57,,,,9,9,,,46,57,,
0.26200000000000001,,698,699,769,748,,9,3.4,,,47,57,,,,9,3.3,,,47,57,,
0.26300000000000001,,712,697,767,746,,2.2999999999999998,1,1.4,,48,51,59,,,0.6,0.7,9,,47,51,59,
0.26400000000000001,,714,697,768,751,,9,1.1000000000000001,,,50,59,,,,0.4,9,9,,48,51,58,
0.26500000000000001,,711,702,776,751,,2.9,2.1,2.1,,47,52,60,,,1.9,2.2999999999999998,9,,47,52,60,
0.26600000000000001,,714,705,780,749,,8.8000000000000007,3.7,9,,47,53,59,,,1.9,4.5999999999999996,9,,47,53,60,
0.26700000000000002,,708,702,786,760,,4.4000000000000004,1,1.9,,45,51,62,,,2.2000000000000002,1.2,2.1,,45,51,62,
0.26800000000000002,,709,694,794,766,,8.3000000000000007,2.7,4.0999999999999996,,43,49,63,,,3.7,1.8,9,,44,49,63,
0.26900000000000002,,710,706,792,765,,6,2.5,2.2000000000000002,,46,52,63,,,2.8,2.5,1,,46,52,63,
0.27,,714,705,793,769,,2.4,9,5.2,,44,50,64,,,2.4,9,9,,44,50,64,
0.27100000000000002,,730,713,775,772,,5.7,8.9,,,35,46,,,,3.3,9,,,35,44,,
0.27200000000000002,,730,713,778,777,,2.7,9,,,36,48,,,,1.5,9,,,36,47,,
0.27300000000000002,,734,720,780,772,,8.9,9,,,38,48,,,,5.9,9,,,38,47,,
0.27400000000000002,,733,724,780,777,,7.8,9,,,39,49,,,,4.2,9,,,39,48,,
0.27500000000000002,,725,710,796,791,,6.7,9,,,36,52,,,,9,9,,,37,52,,
0.27600000000000002,,725,711,803,792,,8.9,9,,,36,52,,,,9,9,,,37,53,,
0.27700000000000002,,721,708,809,801,,9,8.8000000000000007,,,35,55,,,,9,9,,,36,55,,
0.27800000000000002,,731,716,802,798,,4,9,,,39,52,,,,3.9,4.8,9,,39,45,53,
0.27900000000000003,,752,725,789,790,,3.3,6.6,9,,40,48,56,,,1.6,4.4000000000000004,9,,40,48,55,
0.28000000000000003,,752,723,792,798,,2.2999999999999998,6.8,9,,41,50,57,,,1.6,8.4,9,,41,49,56,
0.28100000000000003,,747,721,802,802,,1.9,9,,,40,52,,,,0.7,1.3,9,,40,47,52,
0.28199999999999997,,738,713,817,812,,9,9,,,38,55,,,,9,9,,,39,56,,
0.28299999999999997,,752,726,802,809,,9,9,,,40,54,,,,6.7,9,,,41,54,,
0.28399999999999997,,739,715,824,819,,9,9,,,38,56,,,,9,9,,,39,56,,
0.28499999999999998,,750,721,817,817,,5.8,9,,,40,54,,,,5.3,9,,,41,55,,
0.28599999999999998,,748,724,821,821,,4.8,9,,,41,54,,,,9,9,,,42,55,,
0.28699999999999998,,754,747,811,811,,4.4000000000000004,9,,,29,42,,,,0.4,3.1,9,,29,36,42,
0.28799999999999998,,755,747,815,814,,2.5,8.8000000000000007,,,31,45,,,,1.6,2.4,2.8,,31,38,44,
0.28899999999999998,,754,751,823,812,,8.8000000000000007,9,,,32,46,,,,3.5,3.9,4.0999999999999996,,32,39,46,
0.28999999999999998,,756,752,824,816,,5.0999999999999996,9,,,33,46,,,,3.5,4.0999999999999996,9,,33,39,46,
0.29099999999999998,,751,747,832,826,,6.4,9,,,31,49,,,,4,9,9,,31,37,49,
0.29199999999999998,,757,749,826,831,,9,9,,,33,48,,,,9,9,,,34,48,,
0.29299999999999998,,762,751,824,835,,9,9,,,34,48,,,,7.4,9,,,34,47,,
0.29399999999999998,,764,757,829,830,,9,8.8000000000000007,,,34,50,,,,9,9,,,34,50,,
0.29499999999999998,,765,769,838,816,,8.4,5.6,7.5,,33,37,48,,,1.1000000000000001,7.2,9,,33,38,48,
0.29599999999999999,,771,773,840,813,,8.8000000000000007,6.3,8.9,,35,40,48,,,1.7,2.2000000000000002,9,,35,40,48,
0.29699999999999999,,767,773,848,817,,8.6999999999999993,5,7.7,,33,40,50,,,1.6,1.5,9,,35,40,49,
0.29799999999999999,,758,766,855,834,,8.6999999999999993,8.1,8.6,,32,36,53,,,2.1,9,9,,32,37,53,
0.29899999999999999,,755,756,867,843,,5.6,7.8,5.6,,30,35,54,,,2.1,9,9,,31,35,54,
0.3,,766,766,856,842,,9,9,,,36,53,,,,9,9,,,36,53,,
0.30099999999999999,,763,780,863,831,,9,9,9,,33,42,55,,,6.3,4.4000000000000004,9,,34,41,56,
0.30199999999999999,,759,773,870,842,,9,9,,,41,58,,,,6.7,9,9,,36,42,58,
0.30299999999999999,,784,781,853,837,,9,8.9,,,23,36,,,,9,9,9,,22,27,36,
